zip_code,total,male,female,totalEducatedPopulation,income,tobaccoUse
60620,11,7,4,54059,15528,15
46303,2,1,0,0,0,2
46323,1,1,0,0,0,2
46324,1,1,0,0,0,0
46349,1,1,0,0,0,0
46383,1,1,0,0,0,2
46392,1,1,0,0,0,2
46394,1,1,0,0,0,2
46403,1,1,0,0,0,0
46405,1,0,1,0,0,2
46410,1,0,1,0,0,0
46514,1,1,0,0,0,2
46628,1,1,0,0,0,0
46711,1,1,0,0,0,2
47978,1,1,0,0,0,0
49251,1,1,0,0,0,0
53125,1,1,0,0,0,2
60010,3,2,1,0,0,2
60020,1,0,1,0,0,2
60045,1,1,0,0,0,0
60050,2,1,1,0,0,1
60056,1,0,1,0,0,0
60062,1,0,1,0,0,0
60068,1,1,0,0,0,2
60070,1,1,0,0,0,2
60074,1,0,1,0,0,0
60081,1,1,0,0,0,2
60090,1,1,0,0,0,2
60097,3,2,1,0,0,5
60098,1,1,0,0,0,2
60102,1,1,0,0,0,2
60103,1,1,0,0,0,0
60106,1,1,0,0,0,0
60110,1,0,1,0,0,0
60115,1,0,1,0,0,0
60119,1,0,1,0,0,1
60120,2,2,0,0,0,2
60126,2,1,1,0,0,4
60130,2,1,1,0,0,1
60131,1,1,0,0,0,2
60133,2,2,0,0,0,2
60137,1,1,0,0,0,2
60148,2,2,0,0,0,4
60151,1,1,0,0,0,1
60153,1,1,0,0,0,1
60160,1,0,1,0,0,0
60163,1,0,1,0,0,0
60169,1,1,0,0,0,0
60172,2,1,1,0,0,2
60175,2,1,1,0,0,1
60177,2,1,1,0,0,1
60178,1,0,1,0,0,0
60191,1,0,1,0,0,2
60193,2,1,1,0,0,2
60194,1,1,0,0,0,2
60202,1,1,0,0,0,2
60302,2,0,2,0,0,1
60402,3,2,1,0,0,6
60406,2,1,1,0,0,4
60411,7,4,3,0,0,9
60415,1,0,1,0,0,0
60416,1,1,0,0,0,0
60417,2,2,0,0,0,1
60419,1,1,0,0,0,2
60420,1,1,0,0,0,2
60423,3,2,1,0,0,2
60425,1,0,1,0,0,1
60426,1,0,1,0,0,1
60429,2,1,1,0,0,2
60430,2,2,0,0,0,3
60432,1,1,0,0,0,1
60433,1,0,1,0,0,2
60434,2,2,0,0,0,2
60435,1,1,0,0,0,0
60436,2,2,0,0,0,2
60438,2,2,0,0,0,3
60440,1,1,0,0,0,0
60441,1,1,0,0,0,1
60443,1,0,1,0,0,2
60446,2,1,1,0,0,2
60447,1,1,0,0,0,2
60449,1,1,0,0,0,1
60452,1,1,0,0,0,1
40453,3,2,1,0,0,0
60455,1,0,1,0,0,0
60459,1,0,1,0,0,1
60463,1,1,0,0,0,1
60466,2,1,1,0,0,4
60467,1,1,0,0,0,2
60475,2,2,0,0,0,1
60477,1,0,1,0,0,2
60480,1,1,0,0,0,1
60482,1,1,0,0,0,1
60491,2,2,0,0,0,0
60504,1,1,0,0,0,1
60505,4,4,0,0,0,5
60506,1,1,0,0,0,2
60510,1,1,0,0,0,2
60512,1,1,0,0,0,0
60513,2,1,1,0,0,0
60517,1,1,0,0,0,2
60520,1,0,1,0,0,1
60526,1,0,1,0,0,2
60541,1,0,1,0,0,0
60543,2,2,0,0,0,3
60548,1,1,0,0,0,0
60551,1,1,0,0,0,0
60554,1,1,0,0,0,1
60559,1,0,1,0,0,0
60601,1,0,1,12889,65526,0
60605,1,1,0,23744,65526,1
60607,1,1,0,26018,44689,1
60608,20,15,5,63227,16444,22
60609,12,10,2,44114,13785,10
60610,4,2,2,35630,71551,5
60611,1,0,1,30299,88669,2
60612,10,8,2,26742,43198,9
60613,2,2,0,44449,57123,1
60614,1,1,0,60519,60058,0
60615,1,0,1,33769,35911,1
60616,8,7,1,44936,65526,9
60617,9,8,1,60713,16579,8
60618,5,3,2,74516,57123,4
60619,4,4,0,48910,19398,6
60621,4,4,0,21948,13785,5
60622,2,2,0,45410,43198,4
60623,13,9,4,61073,12034,16
60624,11,9,2,26157,0,14
60625,3,1,2,64638,37524,5
60626,3,3,0,41332,23939,4
60628,14,8,6,51524,17949,16
60629,4,3,1,80233,15754,1
60630,3,2,1,45817,27751,5
60632,9,5,4,64142,16134,6
60633,1,1,0,10195,22677,0
60634,3,3,0,58938,24336,5
60636,2,2,0,26256,11317,2
60637,3,1,2,35921,13785,5
60638,3,3,0,45141,26353,2
60639,3,1,2,65082,15461,2
60640,6,3,3,59496,35787,7
60641,3,2,1,54542,24336,4
60642,1,0,1,17123,88669,0
60643,3,2,1,39342,39523,1
60643,3,2,1,39342,39523,1
60643,3,2,1,39342,39523,1
60643,3,2,1,39342,39523,1
60644,11,5,6,35353,15957,15
60645,1,1,0,35448,23040,0
60646,1,0,1,21579,0,0
60647,5,2,3,70057,31908,7
60649,3,1,2,34387,19398,5
60651,6,5,1,44921,13781,6
60652,1,0,1,32055,23482,2
60653,7,5,2,23387,19252,7
60655,2,2,0,21821,39523,2
60657,2,1,1,62051,60058,4
60659,4,2,2,30508,23040,2
60660,3,2,1,37358,33385,1
60707,2,1,1,34001,0,4
60707,2,1,1,34001,0,4
60714,1,1,0,0,0,2
60803,1,1,0,0,0,2
60804,7,3,4,0,0,6
60805,5,4,1,0,0,5
60901,3,3,0,0,0,2
60913,1,1,0,0,0,0
60915,2,2,0,0,0,3
60927,1,1,0,0,0,2
60950,1,1,0,0,0,2
60970,2,2,0,0,0,3
61021,1,1,0,0,0,0
61072,1,1,0,0,0,1
61102,1,1,0,0,0,1
61103,2,1,1,0,0,3
61104,3,2,1,0,0,4
61109,1,1,0,0,0,0
61111,2,1,1,0,0,1
61131,1,1,0,0,0,1
61240,1,1,0,0,0,0
61244,1,1,0,0,0,2
61265,1,1,0,0,0,2
61282,1,1,0,0,0,1
61348,1,0,1,0,0,0
61350,1,1,0,0,0,1
61356,1,1,0,0,0,2
61443,1,0,1,0,0,2
61525,1,1,0,0,0,2
61550,1,1,0,0,0,2
61726,1,1,0,0,0,1
61755,1,1,0,0,0,2
61834,1,1,0,0,0,2
62259,1,1,0,0,0,0
62644,1,1,0,0,0,1
62824,1,1,0,0,0,2
